Disease,Medication1,Dosage_Mild1,Dosage_Severe1,Medication2,Dosage_Mild2,Dosage_Severe2,Medication3,Dosage_Mild3,Dosage_Severe3,Medication4,Dosage_Mild4,Dosage_Severe4,Medication5,Dosage_Mild5,Dosage_Severe5\
Fungal infection,Clotrimazole,Apply 1% cream twice daily for 2 weeks,Apply 1% cream three times daily for 4 weeks,Fluconazole,150mg once weekly for 2-4 weeks,200mg daily for 2-4 weeks,Terbinafine,250mg daily for 1-2 weeks,250mg daily for 4-6 weeks,Ketoconazole,200mg daily for 1-2 weeks,400mg daily for 2-4 weeks,Itraconazole,100mg daily for 1 week,200mg twice daily for 2 weeks\
Allergy,Cetirizine,5mg once daily,10mg twice daily,Loratadine,10mg once daily,10mg twice daily,Diphenhydramine,25mg every 4-6 hours as needed,50mg every 4-6 hours as needed,Fexofenadine,60mg twice daily,180mg daily,Prednisolone,5mg daily for 3-5 days,40-60mg daily for 5-7 days\
GERD,Omeprazole,20mg once daily for 4-8 weeks,40mg twice daily for 8-12 weeks,Famotidine,20mg twice daily,40mg twice daily,Calcium Carbonate,500-1000mg as needed,1000-2000mg as needed,Sucralfate,1g four times daily,1g four times daily,Metoclopramide,5mg three times daily before meals,10mg four times daily before meals\
Chronic cholestasis,Ursodeoxycholic acid,13-15mg/kg/day in 2-3 divided doses,15-20mg/kg/day in 2-3 divided doses,Cholestyramine,4g once or twice daily,4g four times daily,Rifampicin,150mg twice daily,300mg twice daily,Prednisolone,5-10mg daily,40mg daily tapering over 2-3 months,Naltrexone,50mg daily,50mg daily\
Drug Reaction,Diphenhydramine,25mg every 4-6 hours,50mg every 4 hours,Prednisolone,10-20mg daily for 3-5 days,1-2mg/kg/day for 5-7 days,Hydroxyzine,25mg three times daily,50mg four times daily,Cetirizine,10mg daily,10mg twice daily,Epinephrine,Not applicable for mild reactions,"0.3-0.5mg IM, may repeat every 5-15 min\"
Peptic ulcer disease,Omeprazole,20mg once daily for 4-8 weeks,40mg twice daily for 8-12 weeks,Amoxicillin,1g twice daily for 7-14 days (with PPI and clarithromycin),1g twice daily for 14 days (with PPI and clarithromycin),Clarithromycin,500mg twice daily for 7-14 days (with PPI and amoxicillin),500mg twice daily for 14 days (with PPI and amoxicillin),Bismuth subsalicylate,525mg four times daily,525mg four times daily,Sucralfate,1g four times daily,1g four times daily\
AIDS,Tenofovir,300mg once daily,300mg once daily,Emtricitabine,200mg once daily,200mg once daily,Dolutegravir,50mg once daily,50mg twice daily,Darunavir,800mg once daily with 100mg ritonavir,600mg twice daily with 100mg ritonavir twice daily,Raltegravir,400mg twice daily,400mg twice daily\
Diabetes,Metformin,"500mg once daily, increase to 500mg twice daily after 1 week",1000mg twice daily,Glimepiride,1-2mg once daily,4-8mg once daily,Sitagliptin,100mg once daily,100mg once daily,Insulin Glargine,0.1-0.2 units/kg once daily,0.3-0.5 units/kg once daily,Semaglutide,"0.25mg once weekly, increase to 0.5mg after 4 weeks",1mg once weekly\
Gastroenteritis,Ciprofloxacin,500mg twice daily for 3-5 days,750mg twice daily for 5-7 days,Ondansetron,4mg every 8 hours as needed,8mg every 8 hours as needed,Loperamide,"4mg initially, then 2mg after each loose stool (max 8mg/day)","4mg initially, then 2mg after each loose stool (max 16mg/day)",Metoclopramide,5mg three times daily,10mg three times daily,Lactobacillus,1-2 capsules daily,2-4 capsules daily\
Bronchial Asthma,Albuterol,2 puffs every 4-6 hours as needed,2-4 puffs every 2-4 hours as needed,Fluticasone,88-110mcg twice daily,220-440mcg twice daily,Montelukast,10mg once daily,10mg once daily,Ipratropium,2 puffs four times daily,2 puffs four times daily,Prednisone,Not used for mild asthma,40-60mg daily for 5-7 days\
Hypertension,Amlodipine,2.5-5mg once daily,5-10mg once daily,Lisinopril,5-10mg once daily,20-40mg once daily,Hydrochlorothiazide,12.5mg once daily,25mg once daily,Metoprolol,25-50mg twice daily,100-200mg twice daily,Losartan,25-50mg once daily,50-100mg once daily\
Migraine,Sumatriptan,"50mg at onset, may repeat after 2 hours (max 200mg/day)","100mg at onset, may repeat after 2 hours (max 200mg/day)",Ibuprofen,"400-600mg at onset, may repeat every 6-8 hours","800mg at onset, may repeat every 6 hours",Topiramate,"25mg daily, increase to 50mg daily after 1 week",100-200mg daily in divided doses,Propranolol,20mg twice daily,40-80mg twice daily,Amitriptyline,10mg at bedtime,25-50mg at bedtime\
Cervical spondylosis,Acetaminophen,500-1000mg every 6 hours as needed (max 3g/day),1000mg every 6 hours as needed (max 4g/day),Naproxen,250-500mg twice daily,500mg twice daily,Cyclobenzaprine,5mg three times daily,10mg three times daily,Gabapentin,"300mg once daily, increase gradually to 300mg three times daily","300mg three times daily, increase gradually to 600mg three times daily",Methylprednisolone,Not used for mild cases,"4mg dose pack, tapering over 6 days\"
Paralysis (brain hemorrhage),Aspirin,81mg daily (preventive),325mg daily,Clopidogrel,75mg daily (preventive),75mg daily,Levetiracetam,500mg twice daily,1000-1500mg twice daily,Baclofen,5mg three times daily,20mg four times daily,Enoxaparin,Not used for mild cases,1mg/kg subcutaneously every 12 hours\
Jaundice,Ursodeoxycholic acid,13-15mg/kg/day in 2-3 divided doses,15-20mg/kg/day in 2-3 divided doses,Cholestyramine,4g once or twice daily,4g four times daily,Hydroxyzine,25mg three times daily (for itching),50mg four times daily (for itching),Entecavir,0.5mg daily (for viral hepatitis),1mg daily (for viral hepatitis),Sofosbuvir,400mg daily (for hepatitis C),400mg daily with other antivirals\
