Disease,Primary_Medication,Alternative_Medication,Primary_Diet,Alternative_Diet,Primary_Workout,Alternative_Workout
Fungal infection,Antifungal Cream,"Tea tree oil (apply 100% oil 2-3 drops directly to affected area twice daily), Oregano oil (2-3 drops diluted in carrier oil applied twice daily), Coconut oil (apply liberally to affected area 3 times daily), Neem extract (apply 10% solution twice daily), Apple cider vinegar (soak affected area for 15 minutes daily)",Antifungal Diet,"Low-sugar diet (berries, leafy greens, eggs, lean proteins), Garlic-enriched meals (2-3 cloves daily), Rutabaga (1 cup cooked), Broccoli and cauliflower (2 cups daily), Asparagus (1 cup cooked)",Moderate exercise,"Gentle yoga, Light walking, Stretching routines, Tai chi, Qigong\"
Allergy,Antihistamines,"Quercetin (500mg twice daily), Butterbur extract (50-75mg twice daily), Stinging nettle (300mg three times daily), Bromelain (500mg twice daily), Vitamin C (1000mg daily in divided doses)",Elimination Diet,"Low-histamine foods (fresh meat, eggs, fresh vegetables, rice), Tapioca (1 cup cooked), Asparagus (1 cup), Artichokes (1-2 medium), Beansprouts (1 cup fresh), Broccoli (1-2 cups daily)",Light cardio,"Swimming, Gentle cycling, Walking in filtered air environments, Indoor rowing, Light elliptical training\"
GERD,Proton Pump Inhibitors,"Slippery elm (1600mg daily in 2-3 divided doses), Licorice root (DGL form, 760mg-1500mg daily), Aloe vera juice (1/4 cup before meals), Baking soda (1/2 tsp in water as needed), Chamomile tea (1-3 cups daily)",Low-Acid Diet,"Green vegetables (broccoli, asparagus, leafy greens, 2-3 cups daily), Lean proteins (chicken, turkey, fish), Whole grains (oatmeal, brown rice), Non-citrus fruits (melons, bananas, apples), Low-fat yogurt (1 cup daily)",Walking,"Gentle yoga poses, Tai chi, Light swimming, Stationary cycling, Elliptical training\"
Chronic cholestasis,Ursodeoxycholic acid,"Milk thistle (210-600mg daily), Dandelion root (500-1500mg daily), Turmeric (500-1500mg daily with black pepper), Artichoke extract (320-640mg three times daily), Phosphatidylcholine (900mg three times daily)",Low-Fat Diet,"Fish (salmon, mackerel, 3-4 oz servings), Nuts (almonds, walnuts, 1 oz daily), Seeds (flax, chia, 1-2 tbsp daily), Low-fat dairy products (1-2 servings), Whole grains (quinoa, brown rice, 1/2 cup cooked)",Light exercise,"Swimming, Gentle walking, Stationary cycling, Seated exercises, Light resistance bands\"
Drug Reaction,Antihistamines,"Quercetin (500mg twice daily), Bromelain (500mg twice daily), Vitamin C (1000mg daily in divided doses), CBD oil (10-20mg twice daily), Aloe vera (1/4 cup gel or juice twice daily)",Antihistamine Diet,"Fresh fruits (apples, pears, 1-2 daily), Fresh vegetables (lettuce, carrots, 2-3 cups daily), Lean proteins (chicken, lamb, 4-6 oz), Rice (1/2 cup cooked), Sweet potatoes (1 medium)",Light exercise,"Gentle walking, Stretching, Tai chi, Qigong, Restorative yoga\"
Peptic ulcer disease,PPIs,"Deglycyrrhizinated licorice (760mg-1500mg daily), Cabbage juice (1 cup fresh daily), Aloe vera (1/4 cup before meals), Probiotics (10-20 billion CFU daily), Marshmallow root (1200-1800mg daily)",Low-Acid Diet,"Lean proteins (chicken, eggs, fish, 4-6 oz), Non-citrus fruits (bananas, apples, 1-2 daily), Cooked vegetables (carrots, cabbage, 1-2 cups), Whole grains (oatmeal, rice, 1/2 cup), Greek yogurt (1 cup daily)",Walking,"Gentle yoga, Tai chi, Light swimming, Stationary cycling, Slow walking\"
AIDS,Antiretroviral drugs,"Immune-boosting herbs (Astragalus 1-30g daily), Medicinal mushrooms (Turkey tail 1g 2-3 times daily), Probiotics (20-30 billion CFU daily), Zinc supplements (30-50mg daily), Selenium (100-200mcg daily)",High-Protein Diet,"Eggs (2-3 daily), Lean meats (chicken, turkey, 4-6 oz), Legumes (chickpeas, lentils, 1/2 cup), Quinoa (1 cup cooked), Greek yogurt (1-2 cups daily)",Light cardio,"Gentle resistance training, Walking, Swimming, Tai chi, Restorative yoga\"
Diabetes,Metformin,"Berberine (500mg three times daily), Cinnamon (1-6g daily), Gymnema sylvestre (400-600mg daily), Alpha-lipoic acid (600-1200mg daily), Chromium (200-1000mcg daily)",Low-Glycemic Diet,"Leafy greens (spinach, kale, 2-3 cups daily), Berries (blueberries, strawberries, 1/2 cup), Fatty fish (salmon, mackerel, 4-6 oz), Nuts (almonds, walnuts, 1 oz), Legumes (lentils, chickpeas, 1/2 cup cooked)",Cardio exercises,"Interval walking, Swimming, Cycling, Resistance training, Yoga\"
Gastroenteritis,Antibiotics,"Probiotics (20-30 billion CFU twice daily), Ginger tea (2-3 cups daily), Peppermint oil (0.2-0.4ml three times daily), Activated charcoal (500-1000mg as needed), Chamomile tea (3-4 cups daily)",BRAT Diet,"Bananas (1-2 daily), Rice (white, 1/2 cup cooked), Applesauce (1/2 cup), Toast (whole grain, 1-2 slices), Clear broths (2-3 cups daily)",Rest,"Gentle walking, Deep breathing, Light stretching, Seated exercises, Recumbent cycling\"
Bronchial Asthma,Bronchodilators,"Ginger (1000mg daily), Honey with black pepper (1 tsp honey with pinch of pepper 1-3 times daily), Eucalyptus oil (5-10 drops in steam inhalation), Caffeine (1-2 cups of coffee), Butterbur (50-75mg twice daily)",Anti-Inflammatory Diet,"Fatty fish (salmon, mackerel, 4-6 oz), Leafy greens (spinach, kale, 2-3 cups), Berries (blueberries, strawberries, 1/2 cup), Nuts (walnuts, almonds, 1 oz), Olive oil (1-2 tbsp daily)",Light cardio,"Swimming, Walking in filtered air, Yoga with breathing exercises, Tai chi, Gentle cycling\"
